latitude,longitude,number,Mean_WPD_kW_per_m
2.5,-4.0,0,9.4868
2.5,-3.5,0,9.5143
2.5,-3.0,0,9.5614
2.5,-2.5,0,9.6118
2.5,-2.0,0,9.6466
2.5,-1.5,0,9.6665
2.5,-1.0,0,9.6745
2.5,-0.5,0,9.6772
2.5,0.0,0,9.6786
2.5,0.5,0,9.681
2.5,1.0,0,9.6852
2.5,1.5,0,9.6899
2.5,2.0,0,9.6915
2.5,2.5,0,9.6908
2.5,3.0,0,9.6808
2.5,3.5,0,9.6632
2.5,4.0,0,9.6323
2.5,4.5,0,9.5706
2.5,5.0,0,9.4663
2.5,5.5,0,9.2672
2.5,6.0,0,8.8181
2.5,6.5,0,7.5439
2.5,7.0,0,6.5699
2.5,7.5,0,4.9841
2.5,8.0,0,6.3959
2.5,8.5,0,6.495
2.5,9.0,0,5.4381
2.5,9.5,0,3.3118
2.5,10.0,0,
2.0,-5.0,0,9.6492
2.0,-4.5,0,9.628
2.0,-4.0,0,9.6257
2.0,-3.5,0,9.6521
2.0,-3.0,0,9.6987
2.0,-2.5,0,9.7478
2.0,-2.0,0,9.7796
2.0,-1.5,0,9.796
2.0,-1.0,0,9.7999
2.0,-0.5,0,9.8009
2.0,0.0,0,9.8004
2.0,0.5,0,9.8044
2.0,1.0,0,9.8102
2.0,1.5,0,9.8176
2.0,2.0,0,9.8205
2.0,2.5,0,9.8197
2.0,3.0,0,9.8079
2.0,3.5,0,9.7859
2.0,4.0,0,9.7505
2.0,4.5,0,9.688
2.0,5.0,0,9.5804
2.0,5.5,0,9.3654
2.0,6.0,0,8.9006
2.0,6.5,0,7.2568
2.0,7.0,0,6.0607
2.0,7.5,0,4.0055
2.0,8.0,0,6.7876
2.0,8.5,0,6.8413
2.0,9.0,0,5.3779
2.0,9.5,0,2.7472
2.0,10.0,0,
1.5,-5.0,0,9.8002
1.5,-4.5,0,9.7732
1.5,-4.0,0,9.7644
1.5,-3.5,0,9.7881
1.5,-3.0,0,9.8319
1.5,-2.5,0,9.8764
1.5,-2.0,0,9.9031
1.5,-1.5,0,9.9156
1.5,-1.0,0,9.9162
1.5,-0.5,0,9.9133
1.5,0.0,0,9.9133
1.5,0.5,0,9.919
1.5,1.0,0,9.928
1.5,1.5,0,9.9371
1.5,2.0,0,9.9403
1.5,2.5,0,9.9386
1.5,3.0,0,9.9238
1.5,3.5,0,9.8989
1.5,4.0,0,9.86
1.5,4.5,0,9.7974
1.5,5.0,0,9.691
1.5,5.5,0,9.4654
1.5,6.0,0,8.9899
1.5,6.5,0,6.7912
1.5,7.0,0,5.9583
1.5,7.5,0,6.7133
1.5,8.0,0,7.8274
1.5,8.5,0,7.3715
1.5,9.0,0,5.1226
1.5,9.5,0,2.7022
1.5,10.0,0,
1.0,-5.0,0,9.9521
1.0,-4.5,0,9.9194
1.0,-4.0,0,9.9077
1.0,-3.5,0,9.9271
1.0,-3.0,0,9.966
1.0,-2.5,0,10.0014
1.0,-2.0,0,10.0202
1.0,-1.5,0,10.0271
1.0,-1.0,0,10.0239
1.0,-0.5,0,10.0203
1.0,0.0,0,10.0219
1.0,0.5,0,10.0284
1.0,1.0,0,10.0387
1.0,1.5,0,10.0488
1.0,2.0,0,10.0526
1.0,2.5,0,10.05
1.0,3.0,0,10.0333
1.0,3.5,0,10.0048
1.0,4.0,0,9.9636
1.0,4.5,0,9.9004
1.0,5.0,0,9.7976
1.0,5.5,0,9.5442
1.0,6.0,0,9.0796
1.0,6.5,0,5.9897
1.0,7.0,0,5.8681
1.0,7.5,0,8.0329
1.0,8.0,0,8.6473
1.0,8.5,0,7.6873
1.0,9.0,0,4.5403
1.0,9.5,0,2.1639
1.0,10.0,0,
0.5,-5.0,0,10.1042
0.5,-4.5,0,10.0657
0.5,-4.0,0,10.0513
0.5,-3.5,0,10.0681
0.5,-3.0,0,10.0981
0.5,-2.5,0,10.1254
0.5,-2.0,0,10.1362
0.5,-1.5,0,10.1338
0.5,-1.0,0,10.1286
0.5,-0.5,0,10.125
0.5,0.0,0,10.1287
0.5,0.5,0,10.1358
0.5,1.0,0,10.1475
0.5,1.5,0,10.1572
0.5,2.0,0,10.1626
0.5,2.5,0,10.1583
0.5,3.0,0,10.1405
0.5,3.5,0,10.1078
0.5,4.0,0,10.0652
0.5,4.5,0,10.0018
0.5,5.0,0,9.9037
0.5,5.5,0,9.5896
0.5,6.0,0,9.1468
0.5,6.5,0,5.6207
0.5,7.0,0,5.9136
0.5,7.5,0,8.7574
0.5,8.0,0,9.2296
0.5,8.5,0,7.595
0.5,9.0,0,3.8875
0.5,9.5,0,1.406
0.5,10.0,0,
0.0,-5.0,0,10.2638
0.0,-4.5,0,10.22
0.0,-4.0,0,10.2004
0.0,-3.5,0,10.2124
0.0,-3.0,0,10.2375
0.0,-2.5,0,10.2553
0.0,-2.0,0,10.2562
0.0,-1.5,0,10.2482
0.0,-1.0,0,10.2398
0.0,-0.5,0,10.2358
0.0,0.0,0,10.2396
0.0,0.5,0,10.2475
0.0,1.0,0,10.2607
0.0,1.5,0,10.2716
0.0,2.0,0,10.2762
0.0,2.5,0,10.2698
0.0,3.0,0,10.2487
0.0,3.5,0,10.2148
0.0,4.0,0,10.1712
0.0,4.5,0,10.1111
0.0,5.0,0,10.0158
0.0,5.5,0,9.6401
0.0,6.0,0,9.2693
0.0,6.5,0,9.3278
